Date,Title,Short Note
2004-12-06,小額房屋貸款限額增加,"聯邦政府屬下的幾個房屋貸款機構，為銀行提供固定利率房屋貸款，他們訂立了「小額貸款」(CONVENTIONAL LOAN)金額，這類貸款的利率特別低，比其他所謂「大額房屋貸款」(JUMBO LOAN)低0.25-0.5%。
「小額貸款」最高金額每年都會稍為提高，由零六年開始，一個單位的住宅，最高貸款金額由差不多 $360,000 提高至$417, 000，增幅為16%，是1979年以來最大的升幅，估計在明年符合小額貸款的借貸人將會增加接近五十萬人。兩個單位的住宅貸款金額是$533 , 850,，三個單位是$645,300。此外，這些機構也向銀行提供固定利率淨值貸款(EQUITY LOAN)，限額是$208, 500。
雖然這些新的小額貸款限額要過了年才生效，但由於貸款通常需要幾個星期才能完成，所以現在申請貸款的人士都應該享受到這些較高的貸款金額。 
假如貸款金額稍微超過「小額貸款」限額的話，貸款人可以考慮將貸款分為兩個貸款，第一貸款不超過以上限額，第二貸款就是淨值貸款。即使第二貸款利率稍高，整體來說平均利息支出可能比一個「大額貸款」為低。"
2004-12-03,年底前計劃退休儲蓄,接近年底，有些讀者應該考慮一下自己個人退休儲蓄的策略。  假如今年收入不高，稅率比平時較低的話，可以考慮將普通的個人退休帳戶(IRA)轉為ROTH IRA 帳戶。只要您今年總收入不超過十萬元，都可以選擇將部份或全部IRA帳戶轉成ROTH IRA。由於ROTH IRA的收入將來是完全免稅，它的稅務好處比普通IRA更高，因為普通IRA只是延稅，不是免稅，將來提取時要當為普通收入付稅的。  但由普通IRA轉為ROTH IRA，是要在今年將金額加入收入報稅，但假如您今年收入和稅率比較低，或者您的年紀很輕，ROTH IRA將來收入可觀，便應該考慮轉成ROTH IRA。但假如已經接近退休，加上今年收入和稅率都相當高，便不要輕易轉為ROTH IRA。  公司提供的401-K儲蓄帳戶，可以為您減低要付稅的收入，假如您今年未放足公司可以讓您放的金額，可能還來得及在年底之前增加儲蓄金額，請向公司401-K計劃負責人查詢，是否讓您增加儲蓄金額。  
2004-12-02,處理租客安全按金,"租客完結租約，搬出租住房屋的時候，業主處理安全按金（SECURITY DEPOSIT）應該合法和公平。
加州法律規定，在租客通知業主將要搬遷之後，業主要用書面通知租客，有權以要求在未搬出之前的一個合理時間，由業主作一次「最初的檢查」。這個檢查的目的，是讓租客知道有什麼需要修補清理的項目，讓租客有機會在搬遷前做好，去減抵安全按金要被扣除的情況。即使您所在的州份沒有這個條例，與租客一同檢查一次，增加彼此的溝通，也會幫助減少將來為退還按金的爭議。 
業主要扣除按金，必須有充份的理由，而且要詳細地在二十一天列出清單，以書面通知租客。業主千萬不要因為不喜歡那位租客，扣除按金時特別嚴格，結果導致不愉快情況，甚至要對薄公堂。 
業主只能在租客對房子有損壞時才可以扣除按金，一般「正常使用的損耗」是不能扣除按金的。地毯舊了，或牆壁有花痕甚至釘孔等等，都是屬於正常的損耗，業主不應該太吹毛求疵。 
有些城市，例如﹕三藩市、BERKELEY，洛杉機等都規定業主要為按金付利息。"
2004-12-01,年終送禮大家高興,接近年終，大家應該回顧一下，在過去一年有什麼人對您提供了良好的服務，考慮送給他們一些「小費」。當然你可以買一件禮物來表示心意，但最方便和最受人歡迎的禮物，相信就是現金。  您應該考慮的因素，是對方在一年中給予您服務的頻率和質量，和您本身的經濟能力，一般二十元至五十元都已經足夠。通常「封利是」的對象，可以包括﹕孩子的褓母和學校老師，照顧孩子的BABYSITTER，理髮師、幫忙清潔房子或照顧病人或老人家的家居護理人員、派報紙的人、收取垃圾的工人，幫忙維修房屋或打理後園的園丁等等。  連天天將信件送到您家中的郵差也應該包括在內，不過政府規定，郵差不能接受現金，只可以收取不超過二十元價值的禮物或禮物卡。  至於為您服務的專業人士，包括﹕會計師，律師、醫生、牙醫、財務顧問、甚至自己擁有生意的商人，都不需要送上現金禮物。  如果您不想送現金利是，可以考慮送公司購物券。送給他們的時候，不要忘記說一些「謝謝」。
2004-11-30,配偶社安福利問題,  不夠四十個工作點(CREDIT)的朋友，是可以憑著擁有四十個點的配偶得到社會安全福利，包括退休金和醫療保險。  只要已經結婚起碼十年，即使離婚後，只要未再婚，依然可以取得前配偶社安退休金一半。這個福利即使前配偶仍健在，甚至對方已經再結婚，只要自己未再婚便有資格。假如前配偶已經過身，您還可以提前在六十歲便取得退休金，比一般六十二歲提前領退休金還要早兩年。  用這個條例取得的退休金金額，是前配偶本身退休金的一半。假如前配偶在離婚後繼續工作，收入很高，他的退休金當然比較高，由於您可得他的退休金一半，他離婚之後的收入也直接幫助您提高退休金金額。  當然，如果您自己有超過四十個點，是有資格憑自己的收入將來去領取社安退休金，但如果前配偶的退休金一半高於您自己的退休金，您是可以選擇領較高的，當然這是假定您沒有重婚。
2004-11-29,如何取得免費信用報告,"以前在本欄我曾提過，西部十三個州的居民在今年十二月開始，每年可以免費取得一份自己的信用報告，是包括三家信用記錄公司的資料。現在有關部門已經宣布要求信用報告的聯絡資料。 
最方便是利用互聯網申請，網址是www.annualcreditreport.com ，亦可以打電話申請，電話號碼是1-877-322-8228，用郵件索取可先到以上網址下載申請表，然後寄到﹕Annual Credit Report Request Service, P.O. Box 105281, Atlanta, GA 30348-5281，十五天後便會收到信用報告。
索取報告時，您需要供給姓名、出生日期、社安卡號碼、現今地址。假如您在過去兩年曾搬家，便要供給過去地址。在網上索取的話，會被問及需要那一家信用記錄公司的報告，您是可以要求全部三家記錄公司的報告，之後您會自動被帶到那家公司的網址，上面會要求您回答一些與您個人信貸有關的問題，以確定您的身份，然後您便可直接在網上看到信用報告。 
在要求信用報告的過程中，您可能被要求考慮購買一些與審查信用記錄有關的服務，這個免費的報告當然會令信用記錄公司生意減少，所以它們會用盡辦法向您促銷其他要收費的產品，請大家留意。"
2004-11-26,半導體行業景氣指標,"在高科技行業當中，半導體(Semi-conductor)是很重要的一環。如何知道此行業的生意情況好與壞？美國半導體產品協會(SEMI)在每月的二十號左右，發表一個Book-to-Bill Ratio的數字，相當受到市場關注。
所謂Book，就是新訂單，Bill就是產品做好後，可以向買家交貨收款；Book-to-Bill的比例，顯示半導體製造商收到的新訂單與制成品交貨比例。
舉個例﹕假如在該月收到價值十元新訂單，亦同時輸出價值十元貨品，比例就是一；若新訂單多於輸出的貨品，比例就高於一，顯示銷售量在增長。反之，若訂單少於輸出的貨品，比例就低於一，顯示該行業銷售量在收縮。 
剛宣布的Book-to-Bill比例是0.96，即幾乎持平，是零二年頭已經開始的情況顯示該行業目前算是穩定。零一年景氣差的時候，比例曾經在0.5以下，是十年來的最低點。在半導體行業全盛時期，亦即二千年初NASDAQ指數達到高峰的時間，比例曾高達1.46。"
2004-11-25,越野車首年折舊金額減少,"做小生意的朋友，如果購買一部超過六千磅重的貨車作商業用途，是可以利用稅例第一七九條，在第一年將十萬元以下的貨車成本全部作為「折舊」(DEPRECIATION)扣稅。本來該一七九條例扣稅金額只有二萬五千元，但是零三年開始政府為了刺激經濟，將以下兩年每年最高折舊金額提高至十萬元。
本來這個條例適合所有六千磅以上的汽車使用，包括「越野車」(SUV)在內，因為一向「越野車」都當是貨車。由於稅例只規定只需要百分之五十以上作商業用途，這部越野車也可以部分作私人用途，所以很多做生意或自雇的朋友，近年都購買最巨型的越野車。
最近布殊總統簽署的新稅例，對以上作出很重大的更改，由十月二十二日開始，規定SUV第一年的折舊由最高十萬元減為只有二萬五千元。由於事前幾乎沒有人知道這個稅例將要通過，而生效日期是在總統正式簽署法案之前，所以一宣布已經馬上生效。"
2004-11-24,業主不可隨便入屋,"業主租屋給住客，之後除非有特發和緊急事故，是不能隨便地進入住客的居所。 
可是，在有些情況下，業主是需要進入住屋的，例如﹕需要作維修、讓其他申請租住的人參觀、在打算賣出房屋時讓買家參觀等。在這些不是突發的情況，業主必須預先通知住客，才可以進入。在加州，業主必須以書面通知，而且需要給予合理的通知時間，通常是起碼二十四小時；假如業主的通知是用郵寄，就要六天前寄出才算是合理通知時間。 
加州租務法例對準備出賣房屋的業主，有個特別的規例，就是業主或房地產經紀只要一次用書面通知租客，讓租客知道業主準備出售房子，之後只需要在買家檢查房屋之前二十四小時，以口頭通知租客便可以了。不過，第一次的書面通知，是要在口頭通知起碼120天之前。
假如業主不按法例，隨便地進入租客居所，租客有權循法律途徑，要求業主賠償損失。"
2004-11-23,應付不合理的情況,"雖然聯邦政府有各種法律去保障消費者，有時大家與商戶或信用記錄公司打交道時，依然可能會遇到以下一些不合理的情況﹕ 
銀行或信用卡公司將錯誤的資料報給信用記錄公司，令您的信用評分受損。雖然您已經通知銀行或信用卡公司，但他們一直都沒有去作更正。 
信用卡公司在沒有您同意的情況下，擅自去取得您的個人信用記錄，令您的信用評分降低。 
你已經多次通知信用記錄公司，要求更正錯誤的信用記錄，但它一直沒有修改記錄。 
追數公司不斷向您追收與您無關的債務，您通知它之後依然不放棄追討，甚至語帶恐嚇，並且繼續不斷打電話到您家中或工作地點，甚至騷擾您的朋友或鄰居。 
您歸還欠賬後，商號沒有將這個記錄報告信用記錄公司。 
遇到以上不合理的對待，假如屢經交涉亦無效，那便只有兩個途徑應付，一是向政府有關部門投訴，但這個辦法通常都缺乏效果；二是利用小額錢法庭去控告對方，迫使對方合理地解決事件。"
2004-11-22,生前信托與年幼子女,"生前信托最大的好處，是避免將來子女承繼遺產時要通過認證(PROBATE)手續，但對家中有未成年子女的家庭，生前信托還可以為他們提供保障。
假如夫婦當中一人離世，另一人當然可以繼續擁有產權，和子女們的監管權；可是，萬一夫婦都離世，假如沒有預先透過遺囑或生前信托，去指定遺產的管理權和子女的監護權，便要由認證法庭(PROBATE COURT)去按州法律作決定，而這些決定通常都是跟據親屬的親疏關係，未必與您的願望相符。
雖然在遺囑中可以指定產權和子女監管權，但假如擁有房地產的話，即使有遺囑亦要通過法庭認證，所以最好還是設立生前信托，在信托中清楚地指定一位信得過的「繼承信托人」(SUCCESSOR TRUSTEE)，並指定由他監管未成年子女。同時，在信托內也可以另指定一位候補的「繼承信托人」，當原來「繼承信托人」不可以擔當任務時，由侯補「繼承信托人」補上。
由於生前信托通常可以隨時更改，到子女成年後，父母到時可以考慮修改信托，讓子女來作「繼承信托人」。"
2004-11-19,有關小費的規則,"從事餐館業或旅游業的朋友，都應該對「小費」或「貼士」的規則有認識。 
凡是客人自願留下的小費，都是屬於雇員的，雇主不能將其佔有，即使客人是用信用卡付帳時留下小費，雇主也要交給雇員，也不能扣起信用卡公司收取商戶的手續費用。可是，假如小費不是客人自願給的，而是在食物價錢上加上去，那就屬於雇主。例如，有些餐館向超過某數目的客人收取預定的小費，便是屬於雇主的。 
聯邦的勞工條例容許老板將小費計算在最低時薪內，所以雇主可以不必付最低時薪，在這個情況下聯邦的最低工資只是 $2.13。可是，假如州有立例規定小費不能當作最低工資的一部份，那麼聯邦勞工條例便沒有效，乃是要按州法律為準。加州和其他九個州完全不准雇主將小費計算在最低工資內，其他州份(包括紐約州，新澤西州，德州等)都容許老板以部份小費來代替最低工資，所以實際的最低工資是比一般低，雇主應該查清楚自己州的條例。"
2004-11-18,提防個人身份被盜用,"最近好幾位讀者被歹徒盜用個人身份，請大家千萬要留意。 
一位讀者收到電話，是一位女士代表大學打來的，讀者家人在大學讀書，所以不疑有詐，在電話上給予對方自己的工卡號碼，對方留下聯絡電話，後來打過去卻發覺電話是假的。 
另一位讀者最近發覺，自己的房屋被人用來借了二十多萬淨值貸款，現在要馬上報警。這種情況比較少見，因為通常在ESCROW 公司辦理貸款手續時，ESCROW代理必須審查貸款人身份，貸款文件簽名也要經地保官(NOTARY PUBLIC)驗證。但近年有些銀行為了省卻手續費用，特別是辦理「淨值信用額」通常都是免除任何手續費用，釵h銀行都不通過ESCROW公司辦理，而是將貸款文件寄到貸款人家中，再由他自行找地保官驗證簽名，被騙徒假冒貸款人的情況便有可能產生。
政府估計，由九八年至零三年共有二千萬美國人被盜用個人身份，是增長率最高的罪案，大家除了自己要小心，不要隨便將個人資料公開之外，更應該定期審查自己的信用報告。"
